Date,Percentage change
12/02/2013,0.00159
13/02/2013,0.00060
14/02/2013,0.00069
15/02/2013,-0.00104
19/02/2013,0.00733
20/02/2013,-0.01240
21/02/2013,-0.00631
22/02/2013,0.00877
25/02/2013,-0.01831
26/02/2013,0.00611
27/02/2013,0.01272
28/02/2013,-0.00086
01/03/2013,0.00233
04/03/2013,0.00461
05/03/2013,0.00957
06/03/2013,0.00108
07/03/2013,0.00182
08/03/2013,0.00448
11/03/2013,0.00325
12/03/2013,-0.00241
13/03/2013,0.00131
14/03/2013,0.00561
15/03/2013,-0.00162
18/03/2013,-0.00551
19/03/2013,-0.00242
20/03/2013,0.00670
21/03/2013,-0.00828
22/03/2013,0.00717
25/03/2013,-0.00334
26/03/2013,0.00779
27/03/2013,-0.00059
28/03/2013,0.00405
01/04/2013,-0.00447
02/04/2013,0.00517
03/04/2013,-0.01055
04/04/2013,0.00405
05/04/2013,-0.00430
08/04/2013,0.00630
09/04/2013,0.00354
10/04/2013,0.01219
11/04/2013,0.00355
12/04/2013,-0.00283
15/04/2013,-0.02297
16/04/2013,0.01430
17/04/2013,-0.01432
18/04/2013,-0.00670
19/04/2013,0.00885
22/04/2013,0.00466
23/04/2013,0.01042
24/04/2013,0.00001
25/04/2013,0.00403
26/04/2013,-0.00184
29/04/2013,0.00719
30/04/2013,0.00248
01/05/2013,-0.00930
02/05/2013,0.00941
03/05/2013,0.01053
06/05/2013,0.00191
07/05/2013,0.00523
08/05/2013,0.00414
09/05/2013,-0.00369
10/05/2013,0.00432
13/05/2013,0.00004
14/05/2013,0.01014
15/05/2013,0.00512
16/05/2013,-0.00501
17/05/2013,0.01030
20/05/2013,-0.00071
21/05/2013,0.00172
22/05/2013,-0.00828
23/05/2013,-0.00292
24/05/2013,-0.00055
28/05/2013,0.00634
29/05/2013,-0.00705
30/05/2013,0.00367
31/05/2013,-0.01431
03/06/2013,0.00594
04/06/2013,-0.00551
05/06/2013,-0.01378
06/06/2013,0.00849
07/06/2013,0.01283
10/06/2013,-0.00034
11/06/2013,-0.01015
12/06/2013,-0.00837
13/06/2013,0.01478
14/06/2013,-0.00589
17/06/2013,0.00757
18/06/2013,0.00779
19/06/2013,-0.01385
20/06/2013,-0.02501
21/06/2013,0.00267
24/06/2013,-0.01214
25/06/2013,0.00949
26/06/2013,0.00959
27/06/2013,0.00620
28/06/2013,-0.00429
01/07/2013,0.00541
02/07/2013,-0.00054
03/07/2013,0.00082
05/07/2013,0.01020
08/07/2013,0.00525
09/07/2013,0.00723
10/07/2013,0.00018
11/07/2013,0.01356
12/07/2013,0.00309
